,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name,Rs,Signal Size_mu2.3,Signal Size_mu20,SNR_HD209458b,SNR_LTT1445Ab
0,TOI 741.01,0.0,0.002,,0.08,0.002069640198982032,631,531,,7.5763,1.8696,5.6,10.45,3745,4.715,True,toi,0.528,20.308655808128684,2.3354954179347986,0.014843320963380714,0.5982827733794492
1,TOI 1827.01,,,,0.12,0.007473866873176994,831,699,,1.4671,1.0073,6.4,8.07,3297,4.8919999999999995,True,toi,0.331472,63.39591173680965,7.29052984973311,0.02352969071435252,0.9484002031670161
2,GJ 357 b,0.0,0.004,0.16899999999999998,0.11,0.00579,626,527,3.082,3.9307,1.53,6.5,9.44,3505,4.94,True,nexsci,0.34,45.168083771365765,5.194329633707062,0.019731174218927845,0.7952951811024217
3,LTT 1445 A b,0.0,0.003,0.233,0.12,0.00692,519,436,3.055,5.3588,1.3776,6.5,6.87,3337,4.97,True,nexsci,0.28,59.85321228244901,6.883119412481635,0.024809875235980813,1.0
4,TOI 260.01,0.0,0.002,,0.15,0.010916376022419128,592,498,,13.47,1.9984,6.5,20.19,4049,4.655,True,toi,0.631587,16.635569071423312,1.9130904432136806,0.008305282740885081,0.33475713448329836
5,TOI 455.01,0.0,0.003,,0.12,0.007473866873176994,525,441,,5.3588,1.3648,6.5,6.87,3384,4.953,True,toi,0.271,59.83809810630045,6.881381282224551,0.02468810966966917,0.995092052452765
6,TOI 562.01,0.0,0.005,,0.12,0.007473866873176994,649,546,,3.9308,1.3326,6.5,9.44,3490,4.864,True,toi,0.359,42.21643141408227,4.854889612619462,0.017211034427632364,0.6937170890191282
7,L 98-59 b,0.0,0.003,0.07200000000000001,0.07,0.00318,721,606,3.194,2.2531,1.02,7.1,10.62,3412,4.94,True,nexsci,0.31,29.315386875794356,3.3712694907163505,0.00793179105909458,0.3197029805128325
8,L 98-59 c,0.0,0.004,0.136,0.12,0.00761,612,515,3.117,3.6904,1.24,7.1,10.62,3412,4.94,True,nexsci,0.31,52.447201048625985,6.031428120591988,0.015646193908385064,0.6306437964546469
9,L 98-59 d,0.0,0.001,0.153,0.14,0.00727,484,407,2.963,7.4512,0.91,7.1,10.62,3412,4.94,True,nexsci,0.31,68.89696817767414,7.923151340432525,0.01760744566462729,0.7096950507470464
10,TOI 175.01,0.0,0.005,,0.12,0.007473866873176994,626,526,,3.6906,1.208,7.1,10.62,3429,4.91,True,toi,0.31,54.54313924108369,6.272461012724624,0.016060133348810745,0.6473282592537729
11,TOI 175.02,0.0,0.001,,0.13,0.008561782951905326,495,416,,7.4508,0.8458,7.1,10.62,3429,4.91,True,toi,0.313,46.96235767881105,5.4006711330632715,0.011570690631727578,0.46637439816493104
12,TOI 175.03,0.0,0.003,,0.08,0.002069640198982032,737,620,,2.2531,1.0542,7.1,10.62,3429,4.91,True,toi,0.31416,66.97988787294132,7.702687105388251,0.018423895925871032,0.7426033283372407
13,TOI 910.01,0.0,0.003,,0.08,0.002069640198982032,719,604,,2.029,0.6995,7.7,12.48,3312,4.94,True,toi,0.279,82.73381203117586,9.51438838358522,0.014062173250057134,0.5667974190238292
14,TOI 198.01,0.0,0.0,,0.14,0.009709729693033964,434,365,,20.4273,2.1786,7.9,23.73,3782,4.784,True,toi,0.444,22.551907669480023,2.5934693819902024,0.006169466125872706,0.24866977633669696
15,TOI 2013.01,,,,0.1,0.004605137141274627,693,583,,2.6163,1.1349,7.9,15.81,3352,4.898,True,toi,0.325635,51.456853311430535,5.917538130814509,0.01016009040404089,0.40951799666070465
16,LHS 1815 b,,,,0.1,0.02737,735,618,3.858,3.8143,1.6780369282394845,8.0,29.87,3643,4.77,True,nexsci,0.5,3.892719067722386,0.4476626927880743,0.0008925434536183925,0.035975330191260736
17,TOI 704.01,0.0,0.002,,0.1,0.004605137141274627,751,632,,3.8143,1.336,8.0,29.84,3596,4.734,True,toi,0.5,23.659953947290113,2.7208947039383626,0.004840527297460945,0.19510486253638684
18,GJ 1132 b,0.0,0.006,0.155,0.11,0.00528,694,584,3.056,1.6289,0.778,8.3,12.04,3270,,True,exoplanets.org,0.21,143.87912367029253,16.546099222083637,0.01956424676882936,0.7885669146959711
19,TOI 270.03,0.0,0.003,,0.12,0.007473866873176994,700,589,,3.3601,1.3933,8.3,22.48,3532,4.851,True,toi,0.415,34.07978726375531,3.9191755353318602,0.006201471372573965,0.2499597967981801
20,TOI 667.01,0.0,0.008,,0.13,0.008561782951905326,709,597,,1.6287,0.799,8.3,12.61,3261,5.02,True,toi,0.26,97.67262765998228,11.23235218089796,0.01345927946545895,0.5424968621341342
21,TOI 696.02,0.0,0.0,,0.1,0.004605137141274627,418,352,,14.7756,1.4213,8.3,19.88,3563,4.886,True,toi,0.361,25.27930239442755,2.907119775359168,0.004646046077291064,0.18726599924827836
22,TOI 270.02,0.0,0.002,0.057999999999999996,0.11,0.00657,684,575,3.1210000000000004,3.3601,2.128,8.3,22.45,3386,,True,nexsci,0.415,29.151689567750473,3.3524443002913036,0.006555790882904002,0.26424118704943705
23,TOI 1468.02,,,,0.13,0.008561782951905326,811,682,,1.8803,1.0554,8.5,24.74,3382,4.855,True,toi,0.36930599999999997,55.30404330449748,6.359964980017209,0.007988053748984848,0.3219707343550072
24,K2-3 c,0.0,0.0,0.046,0.14,0.00673,456,383,2.9360000000000004,24.6466,3.4272,8.6,45.0,3896,4.73,True,nexsci,0.56,21.46204771966297,2.4681354877612405,0.0053347789678292795,0.21502643270420221
25,K2-3 d,0.0,0.0,0.023,0.14,0.011654000000000001,367,308,3.175,44.5631,3.984,8.6,45.0,3896,,True,exoplanets.org,0.56,9.966969956465867,1.1462015449935745,0.00267115053415441,0.10766481123937874
26,K2-3 d,0.0,0.0,0.028999999999999998,0.14,0.00881,365,307,3.072,44.5565,4.17,8.6,45.0,3896,4.73,True,nexsci,0.56,13.141650514064796,1.5112898091174514,0.0036032424934083597,0.14523420449058588
27,TOI 700.03,0.0,0.0,0.040999999999999995,0.09,0.0034799999999999996,494,416,2.9989999999999997,9.977,1.9739,8.6,31.07,3461,4.8,True,nexsci,1.0,3.75596043154973,0.43193544962821895,0.0007085314486873105,0.028558444649481936
28,TOI 700.02,0.0,0.0,0.028999999999999998,0.1,0.00495,318,268,3.072,37.4248,3.2827,8.6,31.07,3461,4.8,True,nexsci,1.0,2.3335063578172117,0.26835323114897935,0.0005676754797336275,0.02288102920043506
29,LHS 1140 b,,,,0.15,0.02196,276,232,3.361,24.737,1.9717702761575242,8.8,14.99,3216,,True,nexsci,0.21,34.8473879415923,4.007449613283114,0.005992029426858527,0.24151791856528626
30,LHS 1140 b,,,,0.13,0.021228999999999998,261,220,3.508,24.7371,1.9717782470928695,8.8,12.47,3131,,True,exoplanets.org,0.21,22.251741426124266,2.5589502640042907,0.003826208126380206,0.1542211756402226
31,LHS 1140 c,,,,0.11,0.00569,517,435,3.036,3.7779,1.053902535915674,8.8,14.99,3216,,True,nexsci,0.21,99.44795340477401,11.43651464154901,0.012501773441212857,0.5039031160899193
32,TOI 1266.02,,,,0.15,0.010916376022419128,424,356,,18.7954,1.9269,8.8,36.01,3618,4.794,True,toi,0.435666,24.992939914739882,2.8741880901950854,0.004248371463965422,0.17123711520339177
33,TOI 1640.01,,,,0.11,0.006447453350840467,729,613,,1.9495,0.6758,8.8,18.23,3414,4.973,True,toi,0.260187,80.56724765840501,9.265233480716576,0.008110416750009316,0.3269027624228875
34,TOI 2142.01,,,,0.13,0.008561782951905326,486,409,,9.3017,2.2244,8.8,27.75,3472,4.86,True,toi,0.363966,34.146556414238056,3.926853987637376,0.006236327378895652,0.251364721490068
