,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name,Rs,Signal Size_mu2.3,Signal Size_mu20,SNR_HD209458b,SNR_LTT1445Ab,atmSNR,atmNtran
0,TOI 741.01,0.0,0.002,,0.08,0.002069640198982032,631,531,,7.5763,1.8696,5.6,10.45,3745,4.715,True,toi,0.528,20.308655808128684,2.335495417934798,0.014843320963380712,0.5982827733794492,2.4440012453140287,4.185401859769289
1,TOI 1827.01,,,,0.12,0.007473866873176993,831,699,,1.4671,1.0073,6.4,8.07,3297,4.892,True,toi,0.331472,63.395911736809644,7.290529849733111,0.023529690714352517,0.948400203167016,3.8742403771772773,1.6655853131451253
2,GJ 357 b,0.0,0.004,0.16899999999999998,0.11,0.00579,626,527,3.082,3.9307,1.53,6.5,9.44,3505,4.94,True,nexsci,0.34,45.16808377136578,5.194329633707062,0.019731174218927845,0.7952951811024217,3.2488022378237678,2.368609448725537
3,LTT 1445 A b,0.0,0.003,0.233,0.12,0.00692,519,436,3.055,5.3588,1.3776,6.5,6.87,3337,4.97,True,nexsci,0.28,59.85321228244901,6.883119412481634,0.024809875235980813,1.0,4.085026937193741,1.4981322715219267
4,TOI 260.01,0.0,0.002,,0.15,0.010916376022419128,592,498,,13.47,1.9984,6.5,20.19,4049,4.655,True,toi,0.631587,16.635569071423312,1.9130904432136808,0.008305282740885081,0.3347571344832984,1.3674919117820619,13.368739968497128
5,TOI 455.01,0.0,0.003,,0.12,0.007473866873176993,525,441,,5.3588,1.3648,6.5,6.87,3384,4.953,True,toi,0.271,59.83809810630045,6.881381282224551,0.024688109669669167,0.995092052452765,4.064977839256953,1.5129467543618111
6,TOI 562.01,0.0,0.005,,0.12,0.007473866873176993,649,546,,3.9308,1.3326,6.5,9.44,3490,4.864,True,toi,0.359,42.21643141408227,4.854889612619462,0.017211034427632364,0.6937170890191282,2.8338529954347673,3.1130448184347985
7,L 98-59 b,0.0,0.003,0.07200000000000001,0.07,0.00318,721,606,3.194,2.2531,1.02,7.1,10.62,3412,4.94,True,nexsci,0.31,29.31538687579436,3.3712694907163505,0.00793179105909458,0.3197029805128325,1.3059952872960465,14.657394910807273
8,L 98-59 c,0.0,0.004,0.136,0.12,0.00761,612,515,3.117,3.6904,1.24,7.1,10.62,3412,4.94,True,nexsci,0.31,52.44720104862599,6.031428120591987,0.01564619390838506,0.6306437964546469,2.5761968962913593,3.7668810239136534
9,L 98-59 d,0.0,0.001,0.153,0.14,0.00727,484,407,2.963,7.4512,0.91,7.1,10.62,3412,4.94,True,nexsci,0.31,68.89696817767414,7.923151340432526,0.01760744566462729,0.7096950507470464,2.899123399494764,2.974449543090077
