,Planet_Name,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name,Rs,Signal Size_mu2.3,Signal Size_mu20,SNR_HD209458b,SNR_LTT1445Ab,atmSNR,atmNtran_5s,Int Ntran_5s,Hours_5s,atmNtran_4s,Int Ntran_4s,Hours_4s
0,TOI 741.01,0.08,0.00206964,631,531,,7.5763,1.8696,5.6,10.45,3745,4.715,TRUE,toi,0.528,20.30865581,2.335495418,0.014843321,0.598282773,2.444001245,4.18540186,4,25.14816,2.67865719,3,18.86112
1,TOI 1827.01,0.12,0.007473867,831,699,,1.4671,1.0073,6.4,8.07,3297,4.892,TRUE,toi,0.331472,63.39591174,7.29052985,0.023529691,0.948400203,3.874240377,1.665585313,2,8.43504,1.0659746,1,4.21752
2,GJ 357 b,0.11,0.00579,626,527,3.082,3.9307,1.53,6.5,9.44,3505,4.94,TRUE,nexsci,0.34,45.16808377,5.194329634,0.019731174,0.795295181,3.248802238,2.368609449,2,10.944,1.515910047,2,10.944
3,LTT 1445 A b,0.12,0.00692,519,436,3.055,5.3588,1.3776,6.5,6.87,3337,4.97,TRUE,nexsci,0.28,59.85321228,6.883119412,0.024809875,1,4.085026937,1.498132272,1,5.10624,0.958804654,1,5.10624
4,TOI 260.01,0.15,0.010916376,592,498,,13.47,1.9984,6.5,20.19,4049,4.655,TRUE,toi,0.631587,16.63556907,1.913090443,0.008305283,0.334757134,1.367491912,13.36873997,13,85.75008,8.55599358,9,59.36544
5,TOI 455.01,0.12,0.007473867,525,441,,5.3588,1.3648,6.5,6.87,3384,4.953,TRUE,toi,0.271,59.83809811,6.881381282,0.02468811,0.995092052,4.064977839,1.512946754,2,10.15104,0.968285923,1,5.07552
6,TOI 562.01,0.12,0.007473867,649,546,,3.9308,1.3326,6.5,9.44,3490,4.864,TRUE,toi,0.359,42.21643141,4.854889613,0.017211034,0.693717089,2.833852995,3.113044818,3,14.99472,1.992348684,2,9.99648
7,L 98-59 b,0.07,0.00318,721,606,3.194,2.2531,1.02,7.1,10.62,3412,4.94,TRUE,nexsci,0.31,29.31538688,3.371269491,0.007931791,0.319702981,1.305995287,14.65739491,15,63.72,9.380732743,9,38.232
8,L 98-59 c,0.12,0.00761,612,515,3.117,3.6904,1.24,7.1,10.62,3412,4.94,TRUE,nexsci,0.31,52.44720105,6.031428121,0.015646194,0.630643796,2.576196896,3.766881024,4,19.104,2.410803855,2,9.552
9,L 98-59 d,0.14,0.00727,484,407,2.963,7.4512,0.91,7.1,10.62,3412,4.94,TRUE,nexsci,0.31,68.89696818,7.92315134,0.017607446,0.709695051,2.899123399,2.974449543,3,11.952,1.903647708,2,7.968
10,TOI 175.01,0.12,0.007473867,626,526,,3.6906,1.208,7.1,10.62,3429,4.91,TRUE,toi,0.31,54.54313924,6.272461013,0.016060133,0.647328259,2.644353376,3.575205634,4,18.7968,2.288131606,2,9.3984
11,TOI 175.02,0.13,0.008561783,495,416,,7.4508,0.8458,7.1,10.62,3429,4.91,TRUE,toi,0.313,46.96235768,5.400671133,0.011570691,0.466374398,1.905151979,6.887803616,7,26.80944,4.408194314,4,15.31968
12,TOI 175.03,0.08,0.00206964,737,620,,2.2531,1.0542,7.1,10.62,3429,4.91,TRUE,toi,0.31416,66.97988787,7.702687105,0.018423896,0.742603328,3.0335546,2.716666808,3,12.99024,1.738666757,2,8.66016
13,TOI 910.01,0.08,0.00206964,719,604,,2.029,0.6995,7.7,12.48,3312,4.94,TRUE,toi,0.279,82.73381203,9.514388384,0.014062173,0.566797419,2.315382725,4.663311553,5,17.394,2.984519394,3,10.4364
14,TOI 198.01,0.14,0.00970973,434,365,,20.4273,2.1786,7.9,23.73,3782,4.784,TRUE,toi,0.444,22.55190767,2.593469382,0.006169466,0.248669776,1.015822735,24.22725173,24,168.68736,15.50544111,16,112.45824
15,TOI 2013.01,0.1,0.004605137,693,583,,2.6163,1.1349,7.9,15.81,3352,4.898,TRUE,toi,0.325635,51.45685331,5.917538131,0.01016009,0.409517997,1.672892048,8.93314072,9,40.71384,5.717210061,6,27.14256
16,LHS 1815 b,0.1,0.02737,735,618,3.858,3.8143,1.678036928,8,29.87,3643,4.77,TRUE,nexsci,0.5,3.892719068,0.447662693,0.000892543,0.03597533,0.146960193,1157.552193,1158,6748.000231,740.8334033,741,4318.020873
17,TOI 704.01,0.1,0.004605137,751,632,,3.8143,1.336,8,29.84,3596,4.734,TRUE,toi,0.5,23.65995395,2.720894704,0.004840527,0.195104863,0.797008619,39.35627375,39,195.2496,25.1880152,25,125.16
18,GJ 1132 b,0.11,0.00528,694,584,3.056,1.6289,0.778,8.3,12.04,3270,,TRUE,exoplanets.org,0.21,143.8791237,16.54609922,0.019564247,0.788566915,3.221317088,2.409201117,2,7.3344,1.541888715,2,7.3344
19,TOI 270.03,0.12,0.007473867,700,589,,3.3601,1.3933,8.3,22.48,3532,4.851,TRUE,toi,0.415,34.07978726,3.919175535,0.006201471,0.249959797,1.021092503,23.97782761,24,123.45408,15.34580967,15,77.1588
20,TOI 667.01,0.13,0.008561783,709,597,,1.6287,0.799,8.3,12.61,3261,5.02,TRUE,toi,0.26,97.67262766,11.23235218,0.013459279,0.542496862,2.216114295,5.0904444,5,18.588,3.257884416,3,11.1528
21,TOI 696.02,0.1,0.004605137,418,352,,14.7756,1.4213,8.3,19.88,3563,4.886,TRUE,toi,0.361,25.27930239,2.907119775,0.004646046,0.187265999,0.764986651,42.72010335,43,224.07816,27.34086614,27,140.70024
22,TOI 270.02,0.11,0.00657,684,575,3.121,3.3601,2.128,8.3,22.45,3386,,TRUE,nexsci,0.415,29.15168957,3.3524443,0.006555791,0.264241187,1.079432367,21.45601855,21,145.0512,13.73185187,14,96.7008
23,TOI 1468.02,0.13,0.008561783,811,682,,1.8803,1.0554,8.5,24.74,3382,4.855,TRUE,toi,0.369306,55.3040433,6.35996498,0.007988054,0.321970734,1.315259123,14.45164761,14,60.66144,9.249054468,9,38.99664
